frankensim.matdb-source.v1
surface_a	polytetrafluoroethylene PTFE piston ring	patent-disclosed oil-free compressor piston ring; grade filler dimensions manufacture and sliding finish unstated	WO 2019/072721 A1 claim 1 identifies PTFE but no tested specimen or commercial ring identity	1	ptfe-piston-ring-grade-filler-dimensions-and-finish-unstated
scalar	claim-particle-diameter-upper	claims-1-and-4-through-10-design-window	patent_claim_silicon_carbide_particle_diameter_upper_exclusive_bound	0.000004	m	constant
uncertainty	claim-particle-diameter-upper	unstated	-	-	-	-
validity	claim-particle-diameter-upper	source_is_patent_design_statement_not_measured_specimen	1	1	1
validity	claim-particle-diameter-upper	source_lubricant_present	0	0	1
validity	claim-particle-diameter-upper	source_ptfe_grade_filler_manufacturing_finish_known	0	0	1
validity	claim-particle-diameter-upper	source_cylinder_substrate_liner_alloy_application_process_known	0	0	1
validity	claim-particle-diameter-upper	source_operating_pressure_speed_temperature_gas_known	0	0	1
validity	claim-particle-diameter-upper	source_quantitative_friction_wear_leakage_lifetime_measured	0	0	1
validity	claim-particle-diameter-upper	source_patent_practice_license_granted	0	0	1
validity	claim-particle-diameter-upper	source_statement_scope_patent_claims	1	1	1
validity	claim-particle-diameter-upper	source_statement_scope_embodiment_description	0	0	1
validity	claim-particle-diameter-upper	source_bound_is_strict_exclusive	1	1	1
scalar	claim-liner-thickness-lower	claims-1-and-4-through-10-design-window	patent_claim_liner_layer_thickness_lower_exclusive_bound	0.00004	m	constant
uncertainty	claim-liner-thickness-lower	unstated	-	-	-	-
validity	claim-liner-thickness-lower	source_is_patent_design_statement_not_measured_specimen	1	1	1
validity	claim-liner-thickness-lower	source_lubricant_present	0	0	1
validity	claim-liner-thickness-lower	source_ptfe_grade_filler_manufacturing_finish_known	0	0	1
validity	claim-liner-thickness-lower	source_cylinder_substrate_liner_alloy_application_process_known	0	0	1
validity	claim-liner-thickness-lower	source_operating_pressure_speed_temperature_gas_known	0	0	1
validity	claim-liner-thickness-lower	source_quantitative_friction_wear_leakage_lifetime_measured	0	0	1
validity	claim-liner-thickness-lower	source_patent_practice_license_granted	0	0	1
validity	claim-liner-thickness-lower	source_statement_scope_patent_claims	1	1	1
validity	claim-liner-thickness-lower	source_statement_scope_embodiment_description	0	0	1
validity	claim-liner-thickness-lower	source_bound_is_strict_exclusive	1	1	1
scalar	claim-liner-thickness-preferred	claims-1-and-4-through-10-design-window	patent_claim_liner_layer_thickness_preferred	0.00005	m	constant
uncertainty	claim-liner-thickness-preferred	unstated	-	-	-	-
validity	claim-liner-thickness-preferred	source_is_patent_design_statement_not_measured_specimen	1	1	1
validity	claim-liner-thickness-preferred	source_lubricant_present	0	0	1
validity	claim-liner-thickness-preferred	source_ptfe_grade_filler_manufacturing_finish_known	0	0	1
validity	claim-liner-thickness-preferred	source_cylinder_substrate_liner_alloy_application_process_known	0	0	1
validity	claim-liner-thickness-preferred	source_operating_pressure_speed_temperature_gas_known	0	0	1
validity	claim-liner-thickness-preferred	source_quantitative_friction_wear_leakage_lifetime_measured	0	0	1
validity	claim-liner-thickness-preferred	source_patent_practice_license_granted	0	0	1
validity	claim-liner-thickness-preferred	source_statement_scope_patent_claims	1	1	1
validity	claim-liner-thickness-preferred	source_statement_scope_embodiment_description	0	0	1
validity	claim-liner-thickness-preferred	source_value_is_preferred	1	1	1
scalar	claim-liner-thickness-upper	claims-1-and-4-through-10-design-window	patent_claim_liner_layer_thickness_upper_exclusive_bound	0.0001	m	constant
uncertainty	claim-liner-thickness-upper	unstated	-	-	-	-
validity	claim-liner-thickness-upper	source_is_patent_design_statement_not_measured_specimen	1	1	1
validity	claim-liner-thickness-upper	source_lubricant_present	0	0	1
validity	claim-liner-thickness-upper	source_ptfe_grade_filler_manufacturing_finish_known	0	0	1
validity	claim-liner-thickness-upper	source_cylinder_substrate_liner_alloy_application_process_known	0	0	1
validity	claim-liner-thickness-upper	source_operating_pressure_speed_temperature_gas_known	0	0	1
validity	claim-liner-thickness-upper	source_quantitative_friction_wear_leakage_lifetime_measured	0	0	1
validity	claim-liner-thickness-upper	source_patent_practice_license_granted	0	0	1
validity	claim-liner-thickness-upper	source_statement_scope_patent_claims	1	1	1
validity	claim-liner-thickness-upper	source_statement_scope_embodiment_description	0	0	1
validity	claim-liner-thickness-upper	source_bound_is_strict_exclusive	1	1	1
scalar	claim-liner-roughness	claims-1-and-4-through-10-design-window	patent_claim_honed_liner_arithmetic_mean_roughness_approximate	0.0000001	m	constant
uncertainty	claim-liner-roughness	unstated	-	-	-	-
validity	claim-liner-roughness	source_is_patent_design_statement_not_measured_specimen	1	1	1
validity	claim-liner-roughness	source_lubricant_present	0	0	1
validity	claim-liner-roughness	source_ptfe_grade_filler_manufacturing_finish_known	0	0	1
validity	claim-liner-roughness	source_cylinder_substrate_liner_alloy_application_process_known	0	0	1
validity	claim-liner-roughness	source_operating_pressure_speed_temperature_gas_known	0	0	1
validity	claim-liner-roughness	source_quantitative_friction_wear_leakage_lifetime_measured	0	0	1
validity	claim-liner-roughness	source_patent_practice_license_granted	0	0	1
validity	claim-liner-roughness	source_statement_scope_patent_claims	1	1	1
validity	claim-liner-roughness	source_statement_scope_embodiment_description	0	0	1
validity	claim-liner-roughness	source_value_is_approximate	1	1	1
validity	claim-liner-roughness	source_surface_is_honed	1	1	1
scalar	embodiment-sic-mass-fraction-lower	disclosed-embodiment-sic-window	patent_embodiment_liner_silicon_carbide_mass_fraction_lower_bound	2	%	constant
uncertainty	embodiment-sic-mass-fraction-lower	unstated	-	-	-	-
validity	embodiment-sic-mass-fraction-lower	source_is_patent_design_statement_not_measured_specimen	1	1	1
validity	embodiment-sic-mass-fraction-lower	source_lubricant_present	0	0	1
validity	embodiment-sic-mass-fraction-lower	source_ptfe_grade_filler_manufacturing_finish_known	0	0	1
validity	embodiment-sic-mass-fraction-lower	source_cylinder_substrate_liner_alloy_application_process_known	0	0	1
validity	embodiment-sic-mass-fraction-lower	source_operating_pressure_speed_temperature_gas_known	0	0	1
validity	embodiment-sic-mass-fraction-lower	source_quantitative_friction_wear_leakage_lifetime_measured	0	0	1
validity	embodiment-sic-mass-fraction-lower	source_patent_practice_license_granted	0	0	1
validity	embodiment-sic-mass-fraction-lower	source_statement_scope_patent_claims	0	0	1
validity	embodiment-sic-mass-fraction-lower	source_statement_scope_embodiment_description	1	1	1
scalar	embodiment-sic-mass-fraction-upper	disclosed-embodiment-sic-window	patent_embodiment_liner_silicon_carbide_mass_fraction_upper_bound	4	%	constant
uncertainty	embodiment-sic-mass-fraction-upper	unstated	-	-	-	-
validity	embodiment-sic-mass-fraction-upper	source_is_patent_design_statement_not_measured_specimen	1	1	1
validity	embodiment-sic-mass-fraction-upper	source_lubricant_present	0	0	1
validity	embodiment-sic-mass-fraction-upper	source_ptfe_grade_filler_manufacturing_finish_known	0	0	1
validity	embodiment-sic-mass-fraction-upper	source_cylinder_substrate_liner_alloy_application_process_known	0	0	1
validity	embodiment-sic-mass-fraction-upper	source_operating_pressure_speed_temperature_gas_known	0	0	1
validity	embodiment-sic-mass-fraction-upper	source_quantitative_friction_wear_leakage_lifetime_measured	0	0	1
validity	embodiment-sic-mass-fraction-upper	source_patent_practice_license_granted	0	0	1
validity	embodiment-sic-mass-fraction-upper	source_statement_scope_patent_claims	0	0	1
validity	embodiment-sic-mass-fraction-upper	source_statement_scope_embodiment_description	1	1	1
