schema_version	case_id	family	level	metric	reference_value_si	acceptance	formula	source	license	retention	status
1	acoustic-olson-hazell-1977-mode5	plate-reference	published-experiment	panel-mode-frequency	1.4198e3	rtol=0.08	theory 1419.8 Hz; experiment 1376 Hz	Olson & Hazell (1977) clamped stiffened panel; values reproduced in Srivastava, Datta & Sheikh, Shock and Vibration 11 (2004) 9-19, Table 4 AND Thinh, Binh & Tu (2013), Table 1 (two independent secondary sources)	factual frequency values transcribed under the two-source law; the committed fs-plate literature test is the retained transcription	five theory frequencies (Hz); experiment column noted in formulas	reference-only
1	acoustic-carcagno-2018-mode1	guitar-body	published-experiment	body-mode-frequency	9.7e1	rtol=0.1	F1 = 97 Hz, Q1 = 34 (tabulated)	Carcagno, Bucknall, Woodhouse, Fritz, Plack, JASA 144(6):3533 (2018), tabulated modal parameters of the BR-rosewood guitar	CC-BY; F/Q values pdftotext-verified in-session; the committed fs-modalid published-parameter benchmark is the retained transcription; mobility MAGNITUDES are figures-only across the CC-BY literature and are refused	three (F, Q) scalar pairs; no figure digitization	reference-only
1	acoustic-carcagno-2018-mode2	guitar-body	published-experiment	body-mode-frequency	1.77e2	rtol=0.1	F2 = 177 Hz, Q2 = 18 (tabulated)	Carcagno, Bucknall, Woodhouse, Fritz, Plack, JASA 144(6):3533 (2018), tabulated modal parameters of the BR-rosewood guitar	CC-BY; F/Q values pdftotext-verified in-session; the committed fs-modalid published-parameter benchmark is the retained transcription; mobility MAGNITUDES are figures-only across the CC-BY literature and are refused	three (F, Q) scalar pairs; no figure digitization	reference-only
1	acoustic-carcagno-2018-mode3	guitar-body	published-experiment	body-mode-frequency	3.36e2	rtol=0.1	F3 = 336 Hz, Q3 = 36 (tabulated)	Carcagno, Bucknall, Woodhouse, Fritz, Plack, JASA 144(6):3533 (2018), tabulated modal parameters of the BR-rosewood guitar	CC-BY; F/Q values pdftotext-verified in-session; the committed fs-modalid published-parameter benchmark is the retained transcription; mobility MAGNITUDES are figures-only across the CC-BY literature and are refused	three (F, Q) scalar pairs; no figure digitization	reference-only
1	acoustic-bar-free-free-f2f1	bar-analytic	analytic-definition	partial-frequency-ratio	2.756538507099962e0	rtol=0.001	(7.853204624095838/4.730040744862704)^2	free-free Euler-Bernoulli characteristic equation cosh(bL)cos(bL)=1; roots re-derivable in-fixture (self-verified pin technique)	analytic; no transcription trust required	ratio values documented; consumers recompute roots	reference-only
1	acoustic-bar-free-free-f3f1	bar-analytic	analytic-definition	partial-frequency-ratio	5.4039176323833225e0	rtol=0.001	(10.995607838001671/4.730040744862704)^2	free-free Euler-Bernoulli characteristic equation cosh(bL)cos(bL)=1; roots re-derivable in-fixture (self-verified pin technique)	analytic; no transcription trust required	ratio values documented; consumers recompute roots	reference-only
1	acoustic-refused-openwind-curves	absence	absence	none			full measured input-impedance curves for the Ernoult 2021 fingerings	GPLv3; retention refused in this MIT+rider repository - scalar peak facts retained instead (see the acoustic-ernoult-2021-* rows)	nothing (deliberate refusal, not a gap); curve-level comparisons would need an independently licensed measurement		refused-retention
1	acoustic-absent-felt-coupon	absence	absence	none			cited felt loading/unloading force-compression data with measurement protocol	hunted 2026-08-15: sources IDENTIFIED (Stulov JASA 97(4):2577 1995 hysteretic hammer model; Chabassier/Chaigne/Joly INRIA RR-8181 hal-00768234 parameter tables; ISMA 2014 paper quoting F0/p/eps/tau values; published p ranges 1.5-2.8 new / 2.5-3.9 used hammers) but PDF RETENTION BLOCKED by HAL/IoC anti-bot on every route tried - no pack row can be minted under the saved-PDF + verbatim-quote transcription law; retry vein: browser-assisted download or HAL API token	frankensim-music-t-piano-felt-87zbd (the Uniaxial fit) and the piano tilt-vs-velocity gate (3ez8g.5.3)		absent-hunt
1	acoustic-absent-trumpet-impedance	absence	absence	none			licensed measured Z_in(f) for a named trumpet (open + valve combinations) with measurement chain	not yet hunted as of 2026-08-16; candidate veins: university impedance-rig datasets (BIAS-class), CC-BY acta acustica supplements; the brass claim gates (3ez8g.4.4) recorded machinery evidence and the bake-off receipt but the trumpet-claim row stays UNGATED until this corpus registers and the cents gate runs against it	the trumpet claim's corpus gate (3ez8g.4.4 promotion) and MM staircase density calibration against a real bell		absent-hunt
1	acoustic-absent-glottal-lf	absence	absence	none			LF-model-class glottal flow parameter sets with license	not yet hunted; parameters must register as model-card rows, distinct from constitutive tissue data	vowel gates (3ez8g.8.3) source-shape QoIs		absent-hunt
1	acoustic-absent-measured-frf-trace	absence	absence	none			a published, license-compatible instrument FRF TRACE (not just parameters)	fs-modalid's recorded no-claim: figures-only across the CC-BY literature; the published-parameter round-trip remains the honest benchmark	fs-modalid trace-level benchmarks and simulate-vs-measure board gates (3ez8g.5.3, 3ez8g.7.4)		absent-hunt
1	acoustic-assaneo-2011-tract-a	vowel-tract	published-model-data	tmm-first-formant-class	8.27e2	class-band=650-900Hz	TMM |Z_in| first peak of the published 10-tube /a/ chart; the class band is the Spanish open-vowel F1 range (Bradlow 1995-class values), a CLASS check not a per-subject match	Assaneo, Nichols, Trevisan, PLoS ONE 6(12):e28317 (2011), Table 2 row [a]	CC-BY (article license verbatim in the saved PDF)	full Table 2 transcribed in crates/fs-couple/src/tract.rs + PDF saved to session scratchpad; acoustically-inverted (not MRI) shapes, formant-valid register	active
1	acoustic-assaneo-2011-tract-u	vowel-tract	published-model-data	tmm-first-formant-class	3.40e2	class-band=250-420Hz	TMM |Z_in| first peak of the published 10-tube /u/ chart; the class band is the Spanish close-back-vowel F1 range, a CLASS check not a per-subject match	Assaneo, Nichols, Trevisan, PLoS ONE 6(12):e28317 (2011), Table 2 row [u]	CC-BY (article license verbatim in the saved PDF)	full Table 2 transcribed in crates/fs-couple/src/tract.rs + PDF saved to session scratchpad; acoustically-inverted (not MRI) shapes, formant-valid register	active
1	acoustic-foam02-basotect-alpha500	porous-absorber	published-experiment	normal-incidence-absorption	0.6510	atol=0.05	measured mean absorption at 500 Hz, Basotect (melamine) 60 mm, rigid backing, 98 mm sample	Caiazzo et al., FOAM 02 dataset, Zenodo record 18242697 + Acta Acustica 9 (50) 2025, doi:10.1051/aacus/2025033	CC-BY-4.0; machine-readable alphas.csv (mean over 36 measurements: 4 angles x 3 specimens x 3 reps); no figure digitization	mean spectrum retained at data/vv-corpus/acoustic/foam02-*-alpha.tsv; scalar checkpoints here	reference-only
1	acoustic-foam02-basotect-alpha1150	porous-absorber	published-experiment	normal-incidence-absorption	0.9848	atol=0.05	measured mean absorption at 1150 Hz, Basotect (melamine) 60 mm, rigid backing, 98 mm sample	Caiazzo et al., FOAM 02 dataset, Zenodo record 18242697 + Acta Acustica 9 (50) 2025, doi:10.1051/aacus/2025033	CC-BY-4.0; machine-readable alphas.csv (mean over 36 measurements: 4 angles x 3 specimens x 3 reps); no figure digitization	mean spectrum retained at data/vv-corpus/acoustic/foam02-*-alpha.tsv; scalar checkpoints here	reference-only
1	acoustic-foam02-pinta-alpha750	porous-absorber	published-experiment	normal-incidence-absorption	0.6953	atol=0.05	measured mean absorption at 750 Hz, Pinta Plano Polar (polyester fleece) 50 mm, rigid backing, 98 mm sample	Caiazzo et al., FOAM 02 dataset, Zenodo record 18242697 + Acta Acustica 9 (50) 2025, doi:10.1051/aacus/2025033	CC-BY-4.0; machine-readable alphas.csv (mean over 36 measurements: 4 angles x 3 specimens x 3 reps); no figure digitization	mean spectrum retained at data/vv-corpus/acoustic/foam02-*-alpha.tsv; scalar checkpoints here	reference-only
